Time,Activity,Pain,Gain,ActivityTime
12:00:00 AM,นอน,ง่วง,พักผ่อน,Insomnia
12:00:00 AM,ดูโคนันเดอะซีรี่ย์,ง่วง,คลายเครียด เบาสมอง,Insomnia
12:00:00 AM,นอน,,,Insomnia
12:00:00 AM,เข้านอน,ง่วงเพราะเหนื่อยมาทั้งวัน,หลับสบาย,Insomnia
12:00:00 AM,เคลียร์งานนิดหน่อย,ติดใจเรื่องงาน นอนไม่หลับ,ได้ทบทวนว่าทำงานอะไรไปบ้าง,Insomnia
12:00:00 AM,นอน,,,Insomnia
12:00:00 AM,เข้านอน,การบ้านยังทำไม่เสร็จ หนังสือยังอ่านไม่ถึงไหน,พักผ่อนเพื่อเตรียมความพร้อมในการปะทะกับพรุ่งนี้,Insomnia
12:00:00 AM,อ่านบทความ,,ได้ความรู้,Insomnia
12:00:00 AM,นอนหลับ,,พักผ่อน,Insomnia
12:00:00 AM,นอนหลับ,,พักผ่อน,Insomnia
12:00:00 AM,เล่นกับแมว,,มีความสุข,Insomnia
12:00:00 AM,นอน,,,Insomnia
12:00:00 AM,เข้านอน,,พักผ่อน,Insomnia
12:00:00 AM,สวดมนต์,ง่วงนอน,ฝึกตัวเองให้มีสมาธิที่ดี,Insomnia
12:00:00 AM,watching Korean series,,Relaxing,Insomnia
12:00:00 AM,นอน,,,Insomnia
12:00:00 AM,เข้านอน,,,Insomnia
12:10:00 AM,อาบน้ำเตรียมเข้านอน,ขี้เกียจ,สบายตัว,Insomnia
12:30:00 AM,เข้านอน,ง่วง,ได้พักผ่อน,Insomnia
12:30:00 AM,เข้านอน,ง่วง,พักผ่อน,Insomnia
12:30:00 AM,"เล่นมือถือ Facebook, Instagram",เวลานอนลดน้อยลง,ผ่อนคลาย เพลิดเพลิน,Insomnia
12:30:00 AM,เข้า youtube หาอะไรเรียนเพิ่ม,จำที่เรียนมาไม่ได้ ไปย้อนดูใหม่,ได้เรียนต่อจากที่ค้างไว้,Insomnia
12:30:00 AM,นอน,,,Insomnia
1:00:00 AM,นอน,,,Insomnia
1:00:00 AM,เข้านอน,"ยังไม่ค่อยอยากนอน, ยังอ่านหนังสือไม่ถึงไหนเลย","ได้พักผ่อน, พักร่างกายที่เหนื่อยมาทั้งวัน",Insomnia
1:00:00 AM,นอน,ง่วง,ได้พักผ่อน,Insomnia
1:00:00 AM,เข้านอน,ง่วงนอน,พักผ่อน,Insomnia
1:00:00 AM,นอน,,,Insomnia
1:00:00 AM,หลับไปไม่รู้ตัว,,,Insomnia
1:00:00 AM,นอนหลับ,ไม่ได้ทำกิจกรรมอื่น,ชาร์จพลังให้กับร่างกาย,Insomnia
1:00:00 AM,เล่นหุ้น,เริ่มเบลอและโลบมากขึ้นจนเล่นเสียหลายครั้ง,ได้ความสนุกและสะใจ,Insomnia
1:00:00 AM,เข้านอน,นอนไม่หลับ,ได้พักผ่อน พร้อมใช้ชีวิตวันรุ่งขึ้น,Insomnia
1:30:00 AM,นอน,หาท่านอนไม่เจอ,ผ่อนคลายทั้งร่างกายและจิตใจ,Insomnia
2:00:00 AM,นอน,,ได้พัก,Insomnia
3:00:00 AM,นอน,ต้องนอนแล้ว เดี๋ยวร่างกายไม่ไหว,ได้สลบจากโลกนี้เสียที,Insomnia
3:00:00 AM,watching Korean series,Very sleepy but can't stop watching series,,Insomnia
3:36:00 AM,เข้านอน,,,Insomnia
5:00:00 AM,"Checking on internet, social, and messaging apps on bed",Feeling guilty of spending too much time on Social content,Keep me posted about friends' conversations and news,Morning
5:00:00 AM,ตื่นมาดูสุนัข,พังข้าวของ,สบายใจ,Morning
5:00:00 AM,Wake-up,Feel not refreshing,More day time,Morning
5:30:00 AM,กดเลื่อนนาฬิกาปลุก,อากาศหนาว ไม่อยากลุกจากที่นอน,,Morning
5:30:00 AM,Wake up,I don't want to get up,,Morning
5:30:00 AM,Read online content,No updates from multiple web,Updated news and technology,Morning
5:35:00 AM,Take a shower,,Cleaned up my body,Morning
5:45:00 AM,Wake up to snooze the clock,still dark and feel not ready to get up,keep sleeping,Morning
5:54:00 AM,"Wake up to snooze the clock, second time","still dark and feel not ready to get up, second time",laying on my bed,Morning
6:00:00 AM,Take a bath,,,Morning
6:00:00 AM,Wake up autonomously,Super sleepy,,Morning
6:00:00 AM,ตื่นนอน,ง่วงนอน,มีเวลาอาบน้ำแต่งตัว,Morning
6:00:00 AM,Get up and close alarm,"Dizzy, unable to wake up easily","- Get more sleeping hour
- Feel fresher",Morning
6:00:00 AM,ตื่นนอน,รู้สึกเหนื่อยจากการเที่ยวเมื่อวันก่อน,รู้สึกดีที่จะได้ไปเล่น sup board ในวันนี้,Morning
6:00:00 AM,ตื่นนอน,งัวเงียๆ,ได้พักเต็มที่,Morning
6:00:00 AM,ตื่นนอน,ยังอยากนอนต่อ,มีเวลาเตรียมตัวเพื่อที่จะเข้างานตรงเวลา,Morning
6:00:00 AM,ฝึกสุนัข,โดนกัด โดนข่วน,สุนัขมีวินัยมากขึ้น,Morning
6:00:00 AM,Take a van to office,,Go to office by office van,Morning
6:00:00 AM,Review materials & tasks,,Done almost high pioritoes,Morning
6:00:00 AM,ตื่นนอน,ง่วงมากๆ,เริ่มต้นวันใหม่,Morning
6:03:00 AM,Get shower and get dress,,Fresh and Hygenity ,Morning
6:10:00 AM,อาบน้ำ,อากาศหนาว,สดชื่น,Morning
6:10:00 AM,อาบน้ำ,อากาศหนาวไม่อยากสระผม,ผมดูมีสุขภาพดีและสดชื่นก่อนไปทำงาน,Morning
6:15:00 AM,Play facebook,,update news and situation,Morning
6:15:00 AM,Taking a shower,- Dry skin when doing in cold season/winter,"- Relax and fresh
- Feel more confidence when go outside",Morning
6:15:00 AM,อาบน้ำ แปรงฟัน,,,Morning
6:15:00 AM,ให้อาหารสุนัข,เปลืองเงิน,สุนัขอิ่ม,Morning
